Date,Open,High,Low,Close,Adj Close,Volume,Stock
2023-01-01,162.51,165.51,152.66,157.07,157.07,5339,NVDA
2023-01-02,107.06,111.39,102.72,105.18,105.18,1691,NVDA
2023-01-03,181.35,189.34,172.23,189.06,189.06,4070,NVDA
2023-01-04,140.53,144.9,132.23,133.31,133.31,8404,NVDA
2023-01-05,138.68,140.01,128.71,131.88,131.88,2033,NVDA
2023-01-06,196.86,199.81,188.28,188.29,188.29,6463,NVDA
2023-01-07,195.54,198.23,194.17,196.25,196.25,6162,NVDA
2023-01-08,113.27,122.37,104.62,112.14,112.14,6803,NVDA
2023-01-09,199.11,206.48,192.97,199.62,199.62,4158,NVDA
2023-01-10,127.51,134.18,119.56,122.44,122.44,5600,NVDA
2023-01-11,132.33,135.14,128.23,132.96,132.96,3178,NVDA
2023-01-12,185.48,189.83,183.9,187.4,187.4,2185,NVDA
2023-01-13,156.44,165.36,149.44,152.04,152.04,9309,NVDA
2023-01-14,191.47,194.08,183.07,187.5,187.5,9782,NVDA
2023-01-15,146.16,150.68,138.18,145.01,145.01,1353,NVDA
2023-01-16,196.84,205.01,194.37,202.85,202.85,3529,NVDA
2023-01-17,129.67,132.91,123.94,129.56,129.56,8622,NVDA
2023-01-18,155.98,157.79,150.41,153.67,153.67,5915,NVDA
2023-01-19,113.92,121.99,110.27,119.31,119.31,2837,NVDA
2023-01-20,111.17,117.85,103.94,108.79,108.79,3553,NVDA
2023-01-21,102.16,107.93,101.03,106.37,106.37,2979,NVDA
2023-01-22,183.75,191.52,180.11,188.16,188.16,2360,NVDA
2023-01-23,116.0,119.86,107.73,118.97,118.97,2142,NVDA
2023-01-24,110.88,118.78,103.82,113.82,113.82,3836,NVDA
2023-01-25,197.36,203.52,190.4,196.17,196.17,6329,NVDA
2023-01-26,103.32,109.85,96.35,104.37,104.37,7561,NVDA
2023-01-27,168.1,173.19,159.71,166.62,166.62,3873,NVDA
2023-01-28,165.46,173.83,158.14,167.97,167.97,2905,NVDA
2023-01-29,198.85,200.98,195.93,197.57,197.57,7486,NVDA
2023-01-30,169.1,172.86,161.91,170.76,170.76,8689,NVDA
2023-01-31,195.84,204.31,187.87,202.84,202.84,8283,NVDA
2023-02-01,113.77,120.55,107.98,113.93,113.93,3208,NVDA
2023-02-02,114.14,122.83,112.89,119.89,119.89,3691,NVDA
2023-02-03,152.43,157.4,150.21,156.96,156.96,9618,NVDA
2023-02-04,105.92,110.53,101.68,103.76,103.76,4885,NVDA
2023-02-05,142.0,146.89,135.48,136.95,136.95,4560,NVDA
2023-02-06,187.88,191.93,183.53,185.82,185.82,4143,NVDA
2023-02-07,119.47,122.7,117.36,119.03,119.03,2558,NVDA
2023-02-08,107.85,109.64,99.15,106.47,106.47,5860,NVDA
2023-02-09,143.75,151.66,136.11,149.65,149.65,5834,NVDA
2023-02-10,121.44,128.96,118.74,127.93,127.93,4962,NVDA
2023-02-11,125.5,130.47,116.21,129.43,129.43,9560,NVDA
2023-02-12,175.57,178.64,171.71,176.45,176.45,8145,NVDA
2023-02-13,180.68,182.06,176.3,179.03,179.03,1001,NVDA
2023-02-14,105.37,109.78,96.7,98.28,98.28,7404,NVDA
2023-02-15,183.99,186.47,182.15,182.27,182.27,7746,NVDA
2023-02-16,179.08,188.3,174.6,188.19,188.19,3352,NVDA
2023-02-17,118.05,125.23,111.77,120.51,120.51,3397,NVDA
2023-02-18,136.91,142.47,129.34,140.99,140.99,2510,NVDA
2023-02-19,158.0,165.21,152.19,162.78,162.78,8872,NVDA
2023-02-20,159.66,162.05,153.78,158.4,158.4,8190,NVDA
2023-02-21,129.96,135.97,123.12,127.3,127.3,1072,NVDA
2023-02-22,196.19,204.41,189.9,190.4,190.4,5019,NVDA
2023-02-23,150.54,159.61,147.44,155.62,155.62,6561,NVDA
2023-02-24,185.95,190.66,183.73,185.43,185.43,4396,NVDA
2023-02-25,179.97,182.85,177.71,181.76,181.76,5380,NVDA
2023-02-26,192.82,200.18,185.4,185.77,185.77,8464,NVDA
2023-02-27,130.66,138.03,123.93,137.59,137.59,8469,NVDA
2023-02-28,137.42,145.47,135.03,145.25,145.25,5554,NVDA
2023-03-01,121.38,130.66,114.05,124.27,124.27,3656,NVDA
2023-03-02,111.21,120.39,101.72,114.68,114.68,8969,NVDA
2023-03-03,193.23,201.08,189.22,195.2,195.2,8337,NVDA
2023-03-04,169.43,171.35,160.77,162.21,162.21,8664,NVDA
2023-03-05,104.46,111.17,99.22,101.23,101.23,6810,NVDA
2023-03-06,134.08,142.76,131.48,136.43,136.43,2515,NVDA
2023-03-07,131.18,133.33,122.4,132.59,132.59,1400,NVDA
2023-03-08,100.87,109.21,98.17,100.81,100.81,7008,NVDA
2023-03-09,194.3,200.42,189.66,193.54,193.54,4576,NVDA
2023-03-10,152.98,162.08,147.15,151.13,151.13,5480,NVDA
2023-03-11,188.39,193.94,179.57,185.62,185.62,2887,NVDA
2023-03-12,137.2,146.04,131.46,142.54,142.54,9503,NVDA
2023-03-13,199.28,200.52,197.02,199.0,199.0,1911,NVDA
2023-03-14,115.68,123.84,112.65,114.36,114.36,6523,NVDA
2023-03-15,137.58,141.54,136.34,138.4,138.4,1757,NVDA
2023-03-16,105.97,110.05,98.84,102.2,102.2,1755,NVDA
2023-03-17,140.46,145.53,131.29,141.15,141.15,6211,NVDA
2023-03-18,179.57,183.51,171.04,171.91,171.91,4430,NVDA
2023-03-19,105.72,107.03,97.75,98.82,98.82,3307,NVDA
2023-03-20,145.98,151.44,143.03,145.54,145.54,6024,NVDA
2023-03-21,110.38,119.11,105.56,115.1,115.1,8122,NVDA
2023-03-22,144.36,150.17,136.34,148.29,148.29,9945,NVDA
2023-03-23,180.4,181.8,171.28,178.37,178.37,6169,NVDA
2023-03-24,139.31,143.04,131.78,140.51,140.51,4845,NVDA
2023-03-25,157.95,162.51,155.41,157.0,157.0,1066,NVDA
2023-03-26,181.54,182.92,180.4,181.2,181.2,3009,NVDA
2023-03-27,186.74,191.01,185.26,190.19,190.19,6101,NVDA
2023-03-28,116.78,124.85,109.07,109.84,109.84,1578,NVDA
2023-03-29,143.17,148.57,140.86,143.05,143.05,5886,NVDA
2023-03-30,115.27,122.06,106.49,118.91,118.91,4858,NVDA
2023-03-31,177.39,183.54,168.88,179.25,179.25,6827,NVDA
2023-04-01,132.56,134.13,130.56,131.73,131.73,3051,NVDA
2023-04-02,115.07,116.9,110.12,111.87,111.87,3589,NVDA
2023-04-03,189.7,190.71,181.95,188.98,188.98,2740,NVDA
2023-04-04,136.29,141.47,131.01,131.51,131.51,6001,NVDA
2023-04-05,168.95,171.05,164.25,168.78,168.78,9889,NVDA
2023-04-06,117.86,122.62,110.14,113.75,113.75,4342,NVDA
2023-04-07,144.95,152.16,139.77,150.38,150.38,1860,NVDA
2023-04-08,121.26,128.43,113.35,128.15,128.15,5756,NVDA
2023-04-09,182.65,185.45,174.66,178.85,178.85,5247,NVDA
2023-04-10,110.95,112.3,108.51,111.52,111.52,4544,NVDA
2023-04-11,127.07,133.93,120.07,133.79,133.79,2745,NVDA
2023-04-12,174.72,178.36,170.68,175.78,175.78,9000,NVDA
2023-04-13,136.73,143.21,134.39,141.87,141.87,8601,NVDA
2023-04-14,144.69,150.18,134.95,144.17,144.17,1142,NVDA
2023-04-15,168.94,173.72,166.16,166.76,166.76,3173,NVDA
2023-04-16,140.26,143.86,135.66,136.66,136.66,1744,NVDA
2023-04-17,129.85,136.12,120.85,120.97,120.97,6014,NVDA
2023-04-18,158.86,163.96,156.6,157.14,157.14,3341,NVDA
2023-04-19,164.65,166.48,155.12,155.65,155.65,2769,NVDA
2023-04-20,126.63,128.3,117.02,125.3,125.3,8258,NVDA
2023-04-21,174.08,178.45,168.17,175.52,175.52,9435,NVDA
2023-04-22,135.04,137.37,129.77,134.51,134.51,5480,NVDA
2023-04-23,131.24,135.54,126.37,132.34,132.34,4549,NVDA
2023-04-24,195.59,201.5,192.64,194.05,194.05,9599,NVDA
2023-04-25,150.42,159.53,149.35,158.36,158.36,9335,NVDA
2023-04-26,192.79,198.89,191.55,196.94,196.94,5306,NVDA
2023-04-27,105.76,111.43,104.14,110.39,110.39,7535,NVDA
2023-04-28,175.36,178.99,174.16,175.32,175.32,3636,NVDA
2023-04-29,113.01,122.27,103.14,105.72,105.72,7248,NVDA
2023-04-30,160.52,167.82,151.41,161.69,161.69,6683,NVDA
2023-05-01,100.11,109.62,98.19,109.34,109.34,2852,NVDA
2023-05-02,160.61,165.66,153.33,158.57,158.57,3750,NVDA
2023-05-03,112.66,119.83,108.09,115.45,115.45,3742,NVDA
2023-05-04,121.6,131.34,114.96,117.09,117.09,8831,NVDA
2023-05-05,120.54,130.32,119.13,124.29,124.29,3079,NVDA
2023-05-06,157.87,167.01,153.21,164.07,164.07,7377,NVDA
2023-05-07,115.82,120.61,109.96,119.38,119.38,3135,NVDA
2023-05-08,173.32,178.25,168.94,169.55,169.55,6500,NVDA
2023-05-09,113.22,114.71,104.17,108.25,108.25,3591,NVDA
2023-05-10,114.98,117.38,108.15,111.09,111.09,9066,NVDA
2023-05-11,109.5,118.12,107.51,118.0,118.0,6107,NVDA
2023-05-12,139.97,144.7,137.41,141.55,141.55,1835,NVDA
2023-05-13,181.92,187.23,180.59,181.16,181.16,7601,NVDA
2023-05-14,188.34,189.89,178.94,186.29,186.29,3031,NVDA
2023-05-15,122.04,127.21,113.08,125.38,125.38,4251,NVDA
2023-05-16,131.16,139.7,122.4,126.92,126.92,9402,NVDA
2023-05-17,121.13,130.74,118.65,119.04,119.04,3025,NVDA
2023-05-18,101.82,108.26,93.51,103.67,103.67,4204,NVDA
2023-05-19,181.01,188.17,177.32,182.63,182.63,8367,NVDA
2023-05-20,113.5,121.43,110.27,116.6,116.6,1608,NVDA
2023-05-21,171.16,180.93,169.11,180.57,180.57,8767,NVDA
2023-05-22,126.56,131.02,124.09,128.49,128.49,1285,NVDA
2023-05-23,146.31,155.93,141.33,148.18,148.18,1927,NVDA
2023-05-24,176.26,180.31,168.87,170.39,170.39,6255,NVDA
2023-05-25,144.77,147.64,135.87,139.74,139.74,1414,NVDA
2023-05-26,113.76,119.44,104.14,117.34,117.34,5799,NVDA
2023-05-27,142.68,145.46,137.36,143.24,143.24,7893,NVDA
2023-05-28,130.32,134.41,123.58,132.31,132.31,7334,NVDA
2023-05-29,114.21,120.97,106.44,107.75,107.75,8819,NVDA
2023-05-30,115.99,123.99,108.78,118.39,118.39,6658,NVDA
2023-05-31,109.97,114.97,103.78,107.43,107.43,2896,NVDA
2023-06-01,100.71,110.42,97.66,102.84,102.84,3180,NVDA
